,responseTime_unixtimestamp,Attention,Stress
616,1556759524,1,-2
617,1556759629,-2,0
618,1556759727,1,-2
619,1556759790,0,0
620,1556759852,2,2
621,1556760023,1,2
622,1556760177,-3,0
623,1556760231,1,0
624,1556760733,0,-2
625,1556760791,-1,1
626,1556760960,1,2
627,1556761849,-1,1
628,1556761850,-1,1
629,1556762412,2,-1
630,1556763071,0,-2
631,1556763263,3,-2
632,1556763301,1,-1
633,1556763836,2,-1
634,1556763876,2,1
635,1556763894,0,0
636,1556763914,-1,1
637,1556764050,0,3
638,1556764210,0,-1
639,1556764889,2,-1
640,1556765095,-1,1
641,1556765095,-1,1
642,1556765717,0,1
643,1556766340,0,-2
644,1556766587,-1,-1
645,1556766739,-2,2
646,1556766745,0,-2
647,1556766886,-2,0
648,1556766897,0,3
649,1556766917,1,-1
650,1556766995,1,-1
651,1556767125,-2,1
652,1556767867,-3,-3
653,1556768029,-1,1
654,1556768209,-1,1
655,1556768711,2,-1
656,1556768885,2,-2
657,1556768931,-2,1
658,1556769078,1,-2
659,1556769080,1,1
660,1556769140,0,0
661,1556769205,0,0
662,1556769258,1,-1
663,1556769441,3,-1
664,1556769447,-1,-1
665,1556769517,-3,1
666,1556769560,0,0
667,1556769602,-2,-1
668,1556769617,2,-1
669,1556769656,0,0
670,1556769659,0,2
671,1556769672,-1,1
672,1556769820,1,0
673,1556769881,1,-1
674,1556769957,-2,-2
675,1556770384,2,1
676,1556771203,-3,2
677,1556771485,-2,1
678,1556771566,-2,0
679,1556771606,0,-1
680,1556771736,-2,1
681,1556771783,-2,1
682,1556771999,1,-1
683,1556772023,-3,-2
684,1556772047,-3,1
685,1556772065,0,-1
686,1556772119,2,-2
687,1556772140,3,0
688,1556772183,-1,2
689,1556772190,-2,2
690,1556772216,3,-2
691,1556772241,2,1
692,1556772293,-2,0
693,1556772335,-1,1
694,1556772734,1,1
695,1556773191,-3,-1
696,1556773407,0,-2
697,1556774337,-1,1
698,1556774561,0,0
699,1556774606,-3,1
700,1556774690,3,-2
701,1556774696,3,-1
702,1556774712,-1,-1
703,1556774714,-1,1
704,1556774749,-1,1
705,1556774750,0,3
706,1556774779,-2,-1
707,1556774798,0,-1
708,1556774850,0,-2
709,1556774884,1,-1
710,1556774909,-1,1
711,1556774912,1,2
712,1556775017,-1,1
713,1556775031,2,1
714,1556775079,-3,0
715,1556775123,1,-1
716,1556775171,1,0
717,1556775787,-1,-3
718,1556775899,3,3
719,1556777203,3,1
720,1556777245,0,-2
721,1556777283,-1,1
722,1556777331,1,2
723,1556777373,2,2
724,1556777375,0,0
725,1556777433,0,0
726,1556777525,-2,-2
727,1556777554,1,-1
728,1556777619,-2,1
729,1556777703,0,1
730,1556777711,2,-1
731,1556777744,-1,1
732,1556777888,-1,-1
733,1556778121,2,2
734,1556778475,1,-3
735,1556778502,2,3
736,1556779847,2,-1
737,1556779932,2,2
738,1556780035,-2,-2
739,1556780041,-1,1
740,1556780097,1,-2
741,1556780132,-2,-2
742,1556780171,-1,-2
743,1556780333,-1,-2
744,1556780344,-3,1
745,1556780355,1,1
746,1556780357,0,0
747,1556780376,0,-1
748,1556780391,-2,1
749,1556780401,2,-1
750,1556780449,2,-1
751,1556781125,1,1
752,1556781916,3,1
753,1556782480,-1,1
754,1556782594,3,1
755,1556782694,1,-1
756,1556782703,2,1
757,1556782770,2,-1
758,1556782809,0,3
759,1556782809,0,3
760,1556782822,-1,1
761,1556782841,2,-2
762,1556782895,-2,-2
763,1556783042,-1,1
764,1556783088,-1,-1
765,1556783100,1,-1
766,1556783112,2,0
767,1556784029,-1,3
768,1556784928,1,-1
769,1556784942,2,-1
770,1556785023,3,3
771,1556785104,2,1
772,1556785110,2,-1
773,1556785130,-3,3
774,1556785131,-3,3
775,1556785346,1,0
776,1556785463,2,-1
777,1556785502,0,-1
778,1556785513,0,0
779,1556785519,3,-2
780,1556785613,0,-3
781,1556785613,0,-3
782,1556785620,1,0
783,1556785620,1,0
784,1556785649,0,-2
785,1556785688,-1,-2
786,1556785724,2,-2
787,1556785949,1,-2
788,1556786188,2,1
789,1556786188,2,1
790,1556786435,0,0
791,1556787023,-1,0
792,1556787214,-3,1
793,1556787660,1,0
794,1556787744,1,-1
795,1556788065,3,0
796,1556788070,1,-1
797,1556788089,-1,2
798,1556788202,1,-1
799,1556788223,0,1
800,1556788238,1,1
801,1556788332,0,0
802,1556788332,0,0
803,1556788339,1,2
804,1556788380,3,-1
805,1556788393,1,-2
806,1556788413,-2,-1
807,1556788424,0,0
808,1556788467,2,-2
809,1556788494,2,0
810,1556788494,2,0
811,1556788574,2,1
812,1556788677,-1,2
813,1556788716,0,0
814,1556789506,2,0
815,1556790364,-3,3
816,1556790592,1,-2
817,1556790691,-1,1
818,1556790695,-1,-1
819,1556790744,0,-3
820,1556790822,1,2
821,1556790822,1,2
822,1556790887,2,-3
823,1556790909,0,0
824,1556790946,-1,1
825,1556791046,2,-2
826,1556791158,0,-1
827,1556791189,0,-2
828,1556791193,-2,0
829,1556792251,0,0
830,1556792262,2,-2
831,1556792805,0,-2
832,1556793232,1,0
833,1556793232,1,0
834,1556793382,2,0
835,1556793386,3,-1
836,1556793514,1,0
837,1556793737,1,-2
838,1556793741,0,1
839,1556793759,0,-2
840,1556793815,-1,-2
841,1556793849,1,1
842,1556793893,-1,3
843,1556793945,-1,1
844,1556794082,3,1
845,1556794313,0,0
846,1556794546,2,2
847,1556794610,-1,1
848,1556794792,0,1
849,1556794792,0,1
850,1556794988,2,-1
851,1556795357,-2,1
852,1556795837,-1,-2
853,1556795877,-3,1
854,1556796078,2,-2
855,1556796203,0,0
856,1556796336,0,-3
857,1556796336,0,-3
858,1556796438,-2,2
859,1556796451,2,0
860,1556796552,2,3
861,1556796599,1,1
862,1556796651,2,1
863,1556797524,2,1
864,1556797830,1,1
865,1556798152,2,0
866,1556798244,-1,-1
867,1556798270,-1,2
868,1556798422,0,0
869,1556798606,3,3
870,1556798840,0,1
871,1556798848,-1,-1
872,1556799067,-3,1
873,1556799153,2,2
874,1556799202,-1,3
875,1556799290,-1,1
876,1556799290,-1,1
877,1556799382,1,0
878,1556799435,-3,3
879,1556799619,3,2
880,1556800118,2,-1
881,1556800132,-1,-1
882,1556801213,2,0
883,1556801246,3,3
884,1556801246,3,3
885,1556801464,2,-2
886,1556801541,0,1
887,1556801551,0,1
888,1556801596,1,-1
889,1556801746,-3,0
890,1556801748,0,0
891,1556801806,2,-2
892,1556801954,0,-1
893,1556801993,2,-1
894,1556802057,1,-3
895,1556802124,0,0
896,1556802458,2,-1
897,1556803822,2,1
898,1556803877,-2,0
899,1556804013,0,-2
900,1556806415,-1,1
901,1556807374,-2,1
902,1556808780,1,1
903,1556810579,0,0
904,1556810786,-2,1
905,1556813447,-3,3
906,1556814474,0,-1
907,1556822000,0,1
908,1556838886,2,0
909,1556838917,0,-3
910,1556842779,0,-1
911,1556844333,2,-1
912,1556845437,0,0
913,1556845620,3,3
914,1556845643,0,1
915,1556846248,-2,-2
916,1556846635,-2,0
917,1556846636,-2,0
918,1556846714,0,-3
919,1556846925,2,0
920,1556847048,0,-2
921,1556847696,1,-1
922,1556848206,0,0
923,1556848339,0,-1
924,1556848676,1,0
925,1556849145,3,3
926,1556849384,1,2
927,1556849391,0,0
928,1556849395,-2,1
929,1556849605,1,0
930,1556849614,2,2
931,1556850081,2,0
